filename,before_sig_MOS_DISC,before_sig_MOS_LOUD,before_sig_MOS_NOISE,before_sig_MOS_REVERB,before_sig_MOS_SIG,before_sig_MOS_OVRL,after_sig_MOS_DISC,after_sig_MOS_LOUD,after_sig_MOS_NOISE,after_sig_MOS_REVERB,after_sig_MOS_SIG,after_sig_MOS_OVRL,para_sig_MOS_DISC,para_sig_MOS_LOUD,para_sig_MOS_NOISE,para_sig_MOS_REVERB,para_sig_MOS_SIG,para_sig_MOS_OVRL
4_chetvero_nischih_s000013_seg_0.wav,395,400,470,474,397,361,388,293,364,346,260,236,19.0,1.0,1.0,0.27456196613456796,0,0
30_p228_365_mic2.wav,438,375,407,450,392,342,333,143,339,425,164,135,-24.0,-20.0,10.0,0.3670489379616235,0,0
20_p227_178_mic2.wav,422,393,380,470,354,329,248,120,122,335,137,121,73.0,-27.0,6.0,0.0,0,0
4_p227_082_mic2.wav,405,372,381,421,347,310,441,221,328,154,221,196,10.0,28.0,9.0,0.38452968168973056,0,0
8_p227_181_mic1.wav,466,413,404,459,381,350,423,173,386,396,260,173,14.0,-1.0,4.0,0.5755967639936407,0,0
8_p228_363_mic2.wav,458,348,356,466,378,340,349,236,358,332,232,195,7.0,-37.0,32.0,0.5291783140521231,0,0
29_p227_010_mic2.wav,416,349,342,438,373,337,232,101,114,458,216,124,195.0,18.0,2.0,0.0,0,0
14_p227_061_mic1.wav,449,459,466,470,424,386,287,102,129,469,218,125,140.0,-7.0,4.0,0.0,0,0
2_p228_288_mic2.wav,415,372,365,451,356,319,359,267,365,363,238,196,75.0,21.0,10.0,0.3153550012414361,0,0
32_p228_330_mic2.wav,419,398,351,476,396,349,360,186,389,400,282,193,16.0,-123.0,7.0,0.0,0,0
22_galatea_01_barrili_f000006.wav,390,429,391,383,350,304,271,241,299,309,214,191,17.0,20.0,77.0,0.6215933440468467,0,0
32_chetvero_nischih_s000013_seg_0.wav,395,400,470,474,397,361,303,134,254,389,164,132,0.0,9.0,0.0,0.0,0,0
29_p228_283_mic2.wav,468,413,397,479,385,338,380,159,385,358,278,190,4.0,-2.0,-267.0,0.0,0,0
33_p227_083_mic1.wav,410,388,431,441,334,327,338,195,266,302,231,207,2.0,-19.0,-57.0,0.34708188060590417,0,0
1_p227_061_mic2.wav,420,413,408,469,433,382,358,213,316,372,213,168,13.0,24.0,1.0,0.3813616903019207,0,0
16_p227_169_mic1.wav,436,355,437,417,355,325,339,288,329,352,213,168,5.0,67.0,1.0,0.5443694864293053,0,0
5_imalavoglia_00_verga_f000005.wav,416,377,366,425,335,298,340,264,389,302,239,186,9.0,8.0,2.0,0.012303772399026136,0,0
5_p227_071_mic1.wav,416,387,439,452,361,325,298,244,282,347,192,171,19.0,29.0,7.0,0.7274845241392732,0,0
28_p227_151_mic2.wav,424,360,342,479,342,349,373,186,389,337,232,157,4.0,14.0,9.0,0.0,0,0
3_keraban_le_tetu_1_05_f000019_seg_0.wav,371,352,357,422,292,255,442,268,370,374,255,193,10.0,3.0,4.0,0.5145017397350793,0,0
26_p227_054_mic1.wav,391,358,423,405,338,309,338,223,321,326,215,177,9.0,-6.0,5.0,0.0,0,0
36_p227_022_mic1.wav,395,428,458,468,409,379,296,127,272,371,180,152,2.0,-1.0,9.0,0.90779069329687,0,0
38_p227_001_mic1.wav,419,325,396,438,359,320,243,101,106,443,210,120,198.0,-15.0,126.0,0.5572599061115405,0,0
